19:51:11 INFO DF DISCONNECT — killing sentinel + rtl_sdr
19:51:11 INFO SoapySDR closed
19:51:13 INFO DF DISCONNECT done
19:51:15 INFO DF LIVE START — killing rtl_sdr, starting scan loop
19:51:15 INFO DF LIVE thread started: True
19:51:17 INFO SoapySDR opened — persistent handle
19:51:32 DEBUG DF 624MHz: 131072 samples in 0.106s
19:51:32 DEBUG DF 628MHz: 131072 samples in 0.106s
19:51:33 DEBUG DF 630MHz: 131072 samples in 0.106s
19:51:33 DEBUG DF 632MHz: 131072 samples in 0.106s
19:51:33 DEBUG DF 634MHz: 131072 samples in 0.106s
19:51:33 DEBUG DF 636MHz: 131072 samples in 0.106s
19:51:33 DEBUG DF 622MHz: 131072 samples in 0.106s
19:51:33 DEBUG DF 624MHz: 131072 samples in 0.106s
19:51:33 DEBUG DF 628MHz: 131072 samples in 0.106s
19:51:33 DEBUG DF 630MHz: 131072 samples in 0.106s
19:51:33 DEBUG DF 632MHz: 131072 samples in 0.106s
19:51:34 DEBUG DF 634MHz: 131072 samples in 0.106s
19:51:34 DEBUG DF 636MHz: 131072 samples in 0.106s
19:51:34 DEBUG DF 622MHz: 131072 samples in 0.106s
19:51:34 DEBUG DF 624MHz: 131072 samples in 0.106s
19:51:34 DEBUG DF 628MHz: 131072 samples in 0.106s
19:51:34 DEBUG DF 630MHz: 131072 samples in 0.106s
19:51:34 DEBUG DF 632MHz: 131072 samples in 0.106s
19:51:34 DEBUG DF 634MHz: 131072 samples in 0.106s
19:51:34 DEBUG DF 636MHz: 131072 samples in 0.106s
19:51:34 DEBUG DF 622MHz: 131072 samples in 0.106s
19:51:35 DEBUG DF 624MHz: 131072 samples in 0.106s
19:51:35 DEBUG DF 628MHz: 131072 samples in 0.106s
19:51:35 DEBUG DF 630MHz: 131072 samples in 0.106s
19:51:35 DEBUG DF 632MHz: 131072 samples in 0.106s
19:51:35 DEBUG DF 634MHz: 131072 samples in 0.106s
19:51:35 DEBUG DF 636MHz: 131072 samples in 0.106s
19:51:35 DEBUG DF 622MHz: 131072 samples in 0.106s
19:51:35 DEBUG DF 624MHz: 131072 samples in 0.106s
19:51:35 DEBUG DF 628MHz: 131072 samples in 0.106s
19:51:36 DEBUG DF 630MHz: 131072 samples in 0.106s
19:51:36 DEBUG DF 632MHz: 131072 samples in 0.106s
19:51:36 DEBUG DF 634MHz: 131072 samples in 0.106s
19:51:36 DEBUG DF 636MHz: 131072 samples in 0.106s
19:51:36 DEBUG DF 622MHz: 131072 samples in 0.107s
19:51:36 DEBUG DF 624MHz: 131072 samples in 0.106s
19:51:36 DEBUG DF 628MHz: 131072 samples in 0.106s
19:51:36 DEBUG DF 630MHz: 131072 samples in 0.107s
19:51:36 DEBUG DF 632MHz: 131072 samples in 0.109s
19:51:37 DEBUG DF 634MHz: 131072 samples in 0.104s
19:51:37 DEBUG DF 636MHz: 131072 samples in 0.106s
19:51:37 DEBUG DF 622MHz: 131072 samples in 0.107s
19:51:37 DEBUG DF 624MHz: 131072 samples in 0.106s
19:51:37 DEBUG DF 628MHz: 131072 samples in 0.106s
19:51:37 DEBUG DF 630MHz: 131072 samples in 0.107s
19:51:37 DEBUG DF 632MHz: 131072 samples in 0.106s
19:51:37 DEBUG DF 634MHz: 131072 samples in 0.107s
19:51:37 DEBUG DF 636MHz: 131072 samples in 0.106s
19:51:38 DEBUG DF 622MHz: 131072 samples in 0.106s
19:51:38 DEBUG DF 624MHz: 131072 samples in 0.106s
19:51:38 DEBUG DF 628MHz: 131072 samples in 0.107s
19:51:38 DEBUG DF 630MHz: 131072 samples in 0.107s
19:51:38 DEBUG DF 632MHz: 131072 samples in 0.106s
19:51:38 DEBUG DF 634MHz: 131072 samples in 0.106s
19:51:38 DEBUG DF 636MHz: 131072 samples in 0.107s
19:51:38 DEBUG DF 622MHz: 131072 samples in 0.106s
19:51:38 DEBUG DF 624MHz: 131072 samples in 0.107s
19:51:39 DEBUG DF 628MHz: 131072 samples in 0.106s
19:51:39 DEBUG DF 630MHz: 131072 samples in 0.107s
19:51:39 DEBUG DF 632MHz: 131072 samples in 0.106s
19:51:39 DEBUG DF 634MHz: 131072 samples in 0.106s
19:51:39 DEBUG DF 636MHz: 131072 samples in 0.106s
19:51:39 DEBUG DF 622MHz: 131072 samples in 0.107s
19:51:39 DEBUG DF 624MHz: 131072 samples in 0.106s
19:51:39 DEBUG DF 628MHz: 131072 samples in 0.106s
19:51:39 DEBUG DF 630MHz: 131072 samples in 0.107s
19:51:40 DEBUG DF 632MHz: 131072 samples in 0.106s
19:51:40 DEBUG DF 634MHz: 131072 samples in 0.107s
19:51:40 DEBUG DF 636MHz: 131072 samples in 0.106s
19:51:40 DEBUG DF 622MHz: 131072 samples in 0.106s
19:51:40 DEBUG DF 624MHz: 131072 samples in 0.106s
19:51:40 DEBUG DF 628MHz: 131072 samples in 0.105s
19:51:40 DEBUG DF 630MHz: 131072 samples in 0.106s
19:51:40 DEBUG DF 632MHz: 131072 samples in 0.106s
19:51:40 DEBUG DF 634MHz: 131072 samples in 0.106s
19:51:40 DEBUG DF 636MHz: 131072 samples in 0.106s
19:51:41 DEBUG DF 622MHz: 131072 samples in 0.106s
19:51:41 DEBUG DF 624MHz: 131072 samples in 0.106s
19:51:41 DEBUG DF 628MHz: 131072 samples in 0.106s
19:51:41 DEBUG DF 630MHz: 131072 samples in 0.106s
19:51:41 DEBUG DF 632MHz: 131072 samples in 0.106s
19:51:41 DEBUG DF 634MHz: 131072 samples in 0.106s
19:51:41 DEBUG DF 636MHz: 131072 samples in 0.106s
19:51:41 DEBUG DF 622MHz: 131072 samples in 0.106s
19:51:41 DEBUG DF 624MHz: 131072 samples in 0.106s
19:51:42 DEBUG DF 628MHz: 131072 samples in 0.106s
19:51:42 DEBUG DF 630MHz: 131072 samples in 0.106s
19:51:42 DEBUG DF 632MHz: 131072 samples in 0.106s
19:51:42 DEBUG DF 634MHz: 131072 samples in 0.106s
19:51:42 DEBUG DF 636MHz: 131072 samples in 0.106s
19:51:42 DEBUG DF 622MHz: 131072 samples in 0.107s
19:51:42 DEBUG DF 624MHz: 131072 samples in 0.106s
19:51:42 DEBUG DF 628MHz: 131072 samples in 0.107s
19:51:42 DEBUG DF 630MHz: 131072 samples in 0.111s
19:51:43 DEBUG DF 632MHz: 131072 samples in 0.102s
19:51:43 DEBUG DF 634MHz: 131072 samples in 0.106s
19:51:43 DEBUG DF 636MHz: 131072 samples in 0.106s
19:51:43 DEBUG DF 622MHz: 131072 samples in 0.107s
19:51:43 DEBUG DF 624MHz: 131072 samples in 0.106s
19:51:43 DEBUG DF 628MHz: 131072 samples in 0.107s
19:51:43 DEBUG DF 630MHz: 131072 samples in 0.106s
19:51:43 DEBUG DF 632MHz: 131072 samples in 0.106s
19:51:43 DEBUG DF 634MHz: 131072 samples in 0.107s
19:51:44 DEBUG DF 636MHz: 131072 samples in 0.106s
19:51:44 DEBUG DF 622MHz: 131072 samples in 0.106s
19:51:44 DEBUG DF 624MHz: 131072 samples in 0.106s
19:51:44 DEBUG DF 628MHz: 131072 samples in 0.106s
19:51:44 DEBUG DF 630MHz: 131072 samples in 0.106s
19:51:44 DEBUG DF 632MHz: 131072 samples in 0.107s
19:51:44 DEBUG DF 634MHz: 131072 samples in 0.107s
19:51:44 DEBUG DF 636MHz: 131072 samples in 0.107s
19:51:44 DEBUG DF 622MHz: 131072 samples in 0.106s
19:51:45 DEBUG DF 624MHz: 131072 samples in 0.107s
19:51:45 DEBUG DF 628MHz: 131072 samples in 0.106s
19:51:45 DEBUG DF 630MHz: 131072 samples in 0.107s
19:51:45 DEBUG DF 632MHz: 131072 samples in 0.107s
19:51:45 DEBUG DF 634MHz: 131072 samples in 0.106s
19:51:45 DEBUG DF 636MHz: 131072 samples in 0.107s
19:51:45 DEBUG DF 622MHz: 131072 samples in 0.107s
19:51:45 DEBUG DF 624MHz: 131072 samples in 0.106s
19:51:45 DEBUG DF 628MHz: 131072 samples in 0.106s
19:51:46 DEBUG DF 630MHz: 131072 samples in 0.106s
19:51:46 DEBUG DF 632MHz: 131072 samples in 0.107s
19:51:46 DEBUG DF 634MHz: 131072 samples in 0.106s
19:51:46 DEBUG DF 636MHz: 131072 samples in 0.106s
19:51:46 DEBUG DF 622MHz: 131072 samples in 0.107s
19:51:46 DEBUG DF 624MHz: 131072 samples in 0.107s
19:51:46 DEBUG DF 628MHz: 131072 samples in 0.107s
19:51:46 DEBUG DF 630MHz: 131072 samples in 0.106s
19:51:46 DEBUG DF 632MHz: 131072 samples in 0.107s
19:51:47 DEBUG DF 634MHz: 131072 samples in 0.106s
19:51:47 DEBUG DF 636MHz: 131072 samples in 0.106s
19:51:47 DEBUG DF 622MHz: 131072 samples in 0.105s
19:51:47 DEBUG DF 624MHz: 131072 samples in 0.106s
19:51:47 DEBUG DF 628MHz: 131072 samples in 0.106s
19:51:47 DEBUG DF 630MHz: 131072 samples in 0.106s
19:51:47 DEBUG DF 632MHz: 131072 samples in 0.106s
19:51:47 DEBUG DF 634MHz: 131072 samples in 0.106s
19:51:47 DEBUG DF 636MHz: 131072 samples in 0.106s
19:51:47 DEBUG DF 622MHz: 131072 samples in 0.106s
19:51:48 DEBUG DF 624MHz: 131072 samples in 0.106s
19:51:48 DEBUG DF 628MHz: 131072 samples in 0.106s
19:51:48 DEBUG DF 630MHz: 131072 samples in 0.105s
19:51:48 DEBUG DF 632MHz: 131072 samples in 0.104s
19:51:48 DEBUG DF 634MHz: 131072 samples in 0.105s
19:51:48 DEBUG DF 636MHz: 131072 samples in 0.105s
19:51:48 DEBUG DF 622MHz: 131072 samples in 0.105s
19:51:48 DEBUG DF 624MHz: 131072 samples in 0.105s
19:51:48 DEBUG DF 628MHz: 131072 samples in 0.110s
19:51:49 DEBUG DF 630MHz: 131072 samples in 0.100s
19:51:49 DEBUG DF 632MHz: 131072 samples in 0.104s
19:51:49 DEBUG DF 634MHz: 131072 samples in 0.100s
19:51:49 DEBUG DF 636MHz: 131072 samples in 0.105s
19:51:49 DEBUG DF 622MHz: 131072 samples in 0.105s
19:51:49 DEBUG DF 624MHz: 131072 samples in 0.106s
19:51:49 DEBUG DF 628MHz: 131072 samples in 0.106s
19:51:49 DEBUG DF 630MHz: 131072 samples in 0.105s
19:51:49 DEBUG DF 632MHz: 131072 samples in 0.106s
19:51:50 DEBUG DF 634MHz: 131072 samples in 0.106s
19:51:50 DEBUG DF 636MHz: 131072 samples in 0.106s
19:51:50 DEBUG DF 622MHz: 131072 samples in 0.106s
19:51:50 DEBUG DF 624MHz: 131072 samples in 0.106s
19:51:50 DEBUG DF 628MHz: 131072 samples in 0.106s
19:51:50 DEBUG DF 630MHz: 131072 samples in 0.106s
19:51:50 DEBUG DF 632MHz: 131072 samples in 0.106s
